Lead #,Lead Type,Business Name,Category,City / Region,Country (Tier 1),Phone,Email (Primary),Email (Secondary),Website URL,Website Status,Quality Score (0-100),Quality Issues,Has Facebook,Notes
13,No Website,Professional Handyman Services,handyman Savannah GA,Savannah,United States,+1 912-441-4288,blake@georgiahandymanexperts.com,,,No website — found contact via web search,N/A,,Yes,Found via: https://www.mrhandyman.com/greater-savannah-and-hilton-head | FB: https://www.facebook.com/AHSSavannah
14,No Website,Savannah Handyman,handyman Savannah GA,Savannah,United States,+1 912-214-3250,info@savannahpropertyguardians.com,info@hometask.com,,No website — found contact via web search,N/A,,Yes,Found via: https://www.mrhandyman.com/greater-savannah-and-hilton-head | FB: https://www.facebook.com/AHSSavannah
15,No Website,Anytime Power Wash,pressure washing Flagstaff AZ,Flagstaff,United States,+1 928-607-1473,info@am-pros.com,contact@pressureperfectaz.com,,No website — found contact via web search,N/A,,No,Found via: https://www.pinecountrywindows.com/commercial-pressure-washing-services
16,No Website,Northern Arizona Power Wash,pressure washing Flagstaff AZ,Flagstaff,United States,+1 928-853-6959,zach@flagsurface.com,,,No website — found contact via web search,N/A,,Yes,Found via: https://www.flagsurface.com | FB: https://www.facebook.com/groups/NvstStudio/posts/4342760762712914
17,No Website,Flagstaff Powerwash,pressure washing Flagstaff AZ,Flagstaff,United States,+1 928-707-1917,hello@flagstaffpressurewash.com,,,No website — found contact via web search,N/A,,No,Found via: https://flagstaffpressurewash.com/contact
18,No Website,Three ladies cleaning,house cleaning Burlington VT,Burlington,United States,+1 802-310-0852,lizzycleans246@gmail.com,,,No website — found contact via web search,N/A,,Yes,Found via: https://www.care.com/house-cleaning/burlington-vt | FB: https://www.facebook.com/groups/1859649567630715/posts/4367390926856554
19,No Website,Apollo Automotive Detailing,mobile car detailing Bend OR,Bend,United States,+1 541-480-5018,kaidenmbaty@outlook.com,,,No website — found contact via web search,N/A,,Yes,Found via: https://apollocardetailing.com | FB: https://www.facebook.com/groups/585835672658870/posts/1732011431374616
20,No Website,MR. FIXIT UPPER,handyman Savannah GA,Savannah,United States,+1 404-798-6548,mrfixitsav@gmail.com,,,No website — found contact via web search,N/A,,Yes,Found via: https://nextdoor.com/pages/mrfix-it-property-maintenance-savannah-ga | FB: https://www.facebook.com/jwmaint
21,Low Quality Website,EcoLawns Unlimited,lawn care service Asheville NC,Asheville,United States,+1 828-736-2457,info@ecolawnsultd.com,,https://ecolawnsultd.com/,Low quality — site unreachable or broken (score 0),0,fetch-failed:202,No,
22,Low Quality Website,U.S. Lawns - Asheville,lawn care service Asheville NC,Asheville,United States,+1 828-713-2737,robin.smith@uslawns.net,,https://uslawns.com/locations/nc/asheville/,Low quality — site unreachable or broken (score 0),0,fetch-failed:no-resp,No,
23,Low Quality Website,"Linc's Lawn Care, LLC",lawn care service Asheville NC,Asheville,United States,+1 828-655-7939,office@lincslawncare.com,,https://getlincs.com/,Low quality — site unreachable or broken (score 0),0,fetch-failed:no-resp,No,
24,Low Quality Website,Greenscapes Landscaping & Retaining Walls,lawn care service Asheville NC,Asheville,United States,+1 828-713-0100,ncgreenscapes@gmail.com,,http://ncgreenscapes.com/,Low quality — site unreachable or broken (score 0),0,fetch-failed:202,No,
25,Low Quality Website,Greater Gallatin Landscape Contractors Inc.,landscaping Bozeman MT,Bozeman,United States,+1 406-570-3784,office@greatergallatin.com,,http://greatergallatin.com/,Low quality — site unreachable or broken (score 0),0,fetch-failed:no-resp,No,
26,Low Quality Website,Jerman Lawn Care LLC,landscaping Bozeman MT,Bozeman,United States,+1 406-600-9319,jake@jermanlawncare.com,,https://jermanlawncare.com/,Low quality — site unreachable or broken (score 0),0,fetch-failed:no-resp,No,
27,Low Quality Website,Scenic City Trucking & Landscaping Products,landscaping Bozeman MT,Bozeman,United States,+1 406-388-7771,sceniccity@montana.net,,https://www.sceniccitytruckandtrailers.com/,Low quality — site unreachable or broken (score 0),0,fetch-failed:no-resp,No,
28,Low Quality Website,Lime Maids,house cleaning Burlington VT,Burlington,United States,+1 802-827-0971,support@limemaids.com,,https://limemaids.com/,Low quality — site unreachable or broken (score 0),0,fetch-failed:202,No,
29,Low Quality Website,Solstice Landscaping,landscaping Bozeman MT,Bozeman,United States,+1 406-587-2250,info@solsticelandscape.com,,http://www.solsticelandscape.com/,Low quality — site unreachable or broken (score 0),0,fetch-failed:no-resp,No,
30,Low Quality Website,Higher Ground Landscaping,landscaping Bozeman MT,Bozeman,United States,+1 406-580-2604,higherground406@gmail.com,office@highergroundaz.com,http://highergroundlandscaping.com/,Low quality — site unreachable or broken (score 0),0,fetch-failed:no-resp,No,
